naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Нерчинский Завод - Уровские Ключи;21110466,00;11146,19;11146,19;256,05;10890,14;256,05;10634,09;256,05;10378,04;256,05;10121,99;256,05;9865,94;256,05;9609,89;256,05;9353,84;256,05;9097,79;256,05;8841,74;256,05;8585,69;256,05;8329,64;256,05;8073,59;256,05
Нижний Цасучей - Кулусутай;23664394,02;11894,06;11894,06;147,22;11746,84;147,22;11599,62;147,22;11452,40;147,22;11305,18;147,22;11157,96;147,22;11010,74;147,22;10863,52;147,22;10716,30;147,22;10569,08;147,22;10421,86;147,22;10274,64;147,22;10127,42;147,22
Новая Кука - Могзон - Хилок;289955124,67;96891474,01;96891474,01;1480217,64;95411256,37;1480217,64;93931038,73;1480217,64;92450821,09;1480217,64;90970603,45;1480217,64;89490385,81;1480217,64;88010168,17;1480217,64;86529950,53;1480217,64;85049732,89;1480217,64;83569515,25;1480217,64;82089297,61;1480217,64;80609079,97;1480217,64;79128862,33;1478155,34
Новопавловка - Зугмара;14979443,00;6231337,08;6231337,08;61997,68;6169339,40;61997,68;6107341,72;61997,68;6045344,04;61997,68;5983346,36;61997,68;5921348,68;61997,68;5859351,00;61997,68;5797353,32;61997,68;5735355,64;61997,68;5673357,96;61997,68;5611360,28;61997,68;5549362,60;61997,68;5487364,92;61997,68
Новопавловка - Толбага;6404234,96;1694,14;1694,14;1694,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Обход г. Чита;84858683,55;57575467,84;57575467,84;216570,68;57358897,16;216570,68;57142326,48;216570,68;56925755,80;216570,68;56709185,12;216570,68;56492614,44;216570,68;56276043,76;216570,68;56059473,08;216570,68;55842902,40;216570,68;55626331,72;216570,68;55409761,04;216570,68;55193190,36;216570,68;54976619,68;216570,68
Олочи - Аргунск;10933776,00;121144,52;121144,52;1304,46;119840,06;1304,46;118535,60;1304,46;117231,14;1304,46;115926,68;1304,46;114622,22;1304,46;113317,76;1304,46;112013,30;1304,46;110708,84;1304,46;109404,38;1304,46;108099,92;1304,46;106795,46;1304,46;105491,00;1304,46
Ононск - Единение;52081679,54;1420619,60;1420619,60;35993,30;1384626,30;32615,91;1352010,39;32615,91;1319394,48;32615,91;1286778,57;32615,91;1254162,66;32615,91;1221546,75;32615,91;1188930,84;32615,91;1156314,93;32615,91;1123699,02;32615,91;1091083,11;32615,91;1058467,20;32615,91;1025851,29;32615,91
Ононск - Оловянная;4409573,00;664509,82;664509,82;13941,95;650567,87;13941,95;636625,92;13941,95;622683,97;13941,95;608742,02;13941,95;594800,07;13941,95;580858,12;13941,95;566916,17;13941,95;552974,22;13941,95;539032,27;13941,95;525090,32;13941,95;511148,37;13941,95;497206,42;13941,95
Первомайск - Боржигонтай;86263582,00;966519,87;966519,87;45902,40;920617,47;45902,40;874715,07;29403,59;845311,48;8916,95;836394,53;8916,95;827477,58;8916,95;818560,63;8916,95;809643,68;8916,95;800726,73;8916,95;791809,78;8916,95;782892,83;8916,95;773975,88;8916,95;765058,93;8916,95
Первомайск - Шиванда;11220674,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Передняя Бырка - Биликтуй;1691354,44;48464,36;48464,36;1283,94;47180,42;1283,94;45896,48;1283,94;44612,54;1283,94;43328,60;1283,94;42044,66;1283,94;40760,72;1283,94;39476,78;1283,94;38192,84;1283,94;36908,90;1283,94;35624,96;1283,94;34341,02;1283,94;33057,08;1283,94
Петровск-Забайкальский - Кижа;8104673,23;5949,32;5949,32;204,94;5744,38;204,94;5539,44;204,94;5334,50;204,94;5129,56;204,94;4924,62;204,94;4719,68;204,94;4514,74;204,94;4309,80;204,94;4104,86;204,94;3899,92;204,94;3694,98;204,94;3490,04;204,94
Подъезд к г. Могоча;337245650,00;77198131,72;77198131,72;2692958,14;74505173,58;2692958,14;71812215,44;2692958,14;69119257,30;2692958,14;66426299,16;2692958,14;63733341,02;2692958,14;61040382,88;2692958,14;58347424,74;2692958,14;55654466,60;2692958,14;52961508,46;2692958,14;50268550,32;2692958,14;47575592,18;2692958,14;44882634,04;2692958,14
Подъезд к г. Нерчинск;963792481,54;854154801,56;854154801,56;4826386,78;849328414,78;4821061,55;844507353,23;4811042,95;839696310,28;4811042,95;834885267,33;4811042,95;830074224,38;4811042,95;825263181,43;4811042,95;820452138,48;4811042,95;815641095,53;4811042,95;810830052,58;4811042,95;806019009,63;4811042,95;801207966,68;4811042,95;796396923,73;4811042,95
Подъезд к г. Петровск-Забайкальский;1803045,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к г. Хилок;1338430,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
